,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,À˘ Ù¿‡±
1062,0.682,0.849,0.647,0.315,0.0614,0.272,0.713,0.705,0.514,0.242,0.71,0.19,0.0183,0.607,0.132,0.0192,0.884,0.727,0.647,0.154,3.50E-11,1.42E-11,2.09E-10,1.52E-10,1.99E-11,4.26E-12,6.84E-12,0,4.66E-12,1.57E-10,2.28E-11,1.27E-11,3.40E-11,3.26E-11,4.26E-12,2.54E-12,2.94E-08,1.30E-09,2.67E-07,3.61E-06,1
1063,0.304,0.668,0.736,0.943,0.777,0.000132,0.456,0.22,0.927,0.644,0.0369,0.177,0.351,0.832,0.778,0.278,0.732,0.425,0.697,0.288,1.09E-11,2.43E-11,4.61E-13,2.58E-10,1.82E-13,2.85E-12,1.12E-11,8.29E-11,6.85E-12,3.73E-10,9.81E-12,3.67E-12,1.42E-11,9.97E-13,1.80E-11,2.10E-12,1.18E-11,5.44E-10,1.93E-07,9.41E-06,2
1064,0.922,0.693,0.441,0.0882,0.398,0.0177,0.47,0.531,0.263,0.621,0.05,0.0588,0.439,0.856,0.0968,0.42,0.913,0.906,0.774,0.269,6.75E-12,1.07E-11,5.41E-11,6.93E-15,1.21E-12,7.31E-13,2.93E-12,1.92E-12,0,2.85E-11,0,8.45E-13,0,3.05E-12,4.36E-12,3.36E-13,7.74E-09,0,6.41E-08,2.97E-06,1
1065,0.771,0.683,0.551,0.555,0.501,0.609,0.597,0.23,0.688,0.879,0.93,0.24,0.241,0.694,0.0471,0.968,0.491,0.359,0.83,0.413,7.66E-12,3.86E-12,3.01E-11,5.05E-12,2.75E-13,3.88E-13,1.53E-12,5.47E-13,1.38E-13,2.21E-12,9.63E-14,9.38E-14,0,2.35E-12,8.65E-12,7.44E-14,6.49E-10,0,2.45E-09,2.62E-07,1
1066,0.00628,0.623,0.933,0.000397,0.816,0.335,0.0294,0.918,0.858,0.732,0.723,0.597,0.461,0.069,0.107,0.0908,0.209,0.624,0.771,0.114,1.19E-10,1.09E-11,1.98E-10,4.09E-11,3.82E-13,9.79E-13,4.77E-12,0,3.92E-13,8.31E-12,8.18E-13,5.81E-13,1.41E-13,1.43E-11,2.24E-11,9.20E-14,1.85E-12,5.30E-12,2.47E-08,4.08E-07,0
1067,0.885,0.911,0.173,0.668,0.0473,0.711,0.539,0.677,0.561,0.875,0.902,0.408,0.211,0.138,0.617,0.249,0.253,0.877,0.684,0.33,3.68E-12,1.75E-11,5.48E-11,2.04E-11,2.13E-12,7.12E-14,5.76E-12,2.61E-12,1.15E-12,3.63E-12,2.47E-13,5.77E-13,0,3.97E-12,1.99E-12,2.70E-14,1.57E-09,0,9.91E-09,1.40E-07,1
1068,0.176,0.324,0.00029,0.481,0.455,0.866,0.794,0.0982,0.0865,0.762,0.892,0.821,0.12,0.511,0.109,0.2,0.541,0.973,0.956,0.819,1.94E-11,4.38E-11,3.93E-11,1.35E-11,2.03E-12,1.15E-13,1.53E-11,1.77E-12,2.88E-12,3.30E-12,2.59E-13,4.44E-13,3.10E-14,3.78E-12,2.33E-12,2.64E-13,3.61E-13,1.17E-12,5.83E-09,6.23E-08,1
1069,0.575,0.115,0.495,0.916,0.867,0.584,0.896,0.825,0.92,0.353,0.546,0.166,0.825,0.754,0.134,0.434,0.000119,0.877,0.454,0.954,2.34E-11,3.66E-11,1.08E-10,5.35E-11,1.76E-12,5.62E-13,1.44E-11,2.17E-12,7.63E-13,4.13E-12,5.20E-13,8.94E-13,8.90E-14,1.49E-11,8.81E-13,1.76E-14,3.97E-13,3.40E-12,3.34E-09,3.52E-08,0
1070,0.3,0.253,0.525,0.396,0.779,0.336,0.0395,0.949,0.947,0.0932,0.885,0.747,0.305,0.243,0.529,0.935,0.345,0.289,0.437,0.82,1.49E-11,8.17E-11,8.60E-12,6.28E-11,1.15E-12,7.42E-14,3.41E-11,1.07E-12,1.03E-12,5.43E-13,9.08E-13,6.12E-13,5.79E-14,2.24E-11,4.40E-13,7.34E-14,6.08E-10,2.18E-12,3.41E-10,7.71E-09,0
1071,0.353,0.682,0.952,0.105,0.386,0.792,0.878,0.763,0.39,0.496,0.0506,0.626,0.807,0.849,0.922,0.695,0.421,0.631,0.676,0.78,6.88E-11,4.25E-11,1.74E-11,6.12E-10,5.33E-12,1.74E-13,1.37E-11,3.76E-12,7.27E-13,1.26E-12,1.71E-11,6.36E-14,0,4.69E-10,1.54E-13,2.68E-16,4.72E-13,0,2.09E-09,0,3
1072,0.792,0.138,0.281,0.00226,0.405,0.924,0.367,0.855,0.485,0.894,0.481,0.837,0.636,0.111,0.00013,0.788,0.448,0.903,0.867,0.286,8.84E-10,3.48E-11,4.29E-11,6.77E-09,5.46E-12,2.99E-14,1.05E-11,1.05E-11,3.54E-12,1.41E-11,3.96E-12,2.33E-12,0,7.88E-11,1.34E-12,7.26E-13,4.29E-13,0,0,1.10E-08,1
1073,0.0478,0.000325,0.313,0.32,0.621,0.796,0.466,0.0981,0.636,0.874,0.478,0.269,0.768,0.82,0.119,0.288,0.965,0.448,0.0074,0.522,1.33E-09,1.66E-11,4.76E-11,1.48E-08,6.11E-12,3.79E-13,5.46E-12,8.45E-12,1.94E-12,2.91E-12,3.87E-12,1.93E-13,0,4.18E-11,5.50E-13,6.04E-13,2.22E-13,0,0,2.29E-08,3
1074,0.22,0.0459,0.456,0.235,0.274,0.774,0.0683,0.41,0.602,0.814,0.33,0.543,0.842,0.15,0.587,0.614,0.426,0.877,0.387,0.438,6.76E-10,8.91E-13,2.26E-13,1.90E-08,9.57E-13,3.60E-13,6.71E-13,1.64E-11,7.73E-13,5.60E-12,2.79E-12,3.52E-13,0,5.85E-12,1.32E-13,3.08E-13,6.15E-14,0,0,4.45E-09,3
1075,0.256,0.143,0.937,0.477,0.202,0.486,0.851,0.136,0.734,0.724,0.76,0.827,0.196,0.0912,0.869,0.775,0.361,0.643,0.208,0.448,1.27E-09,2.27E-12,4.78E-13,5.06E-08,5.49E-13,4.62E-14,1.69E-12,2.03E-11,6.43E-13,8.29E-12,6.41E-12,9.54E-15,0,9.77E-13,3.81E-14,7.83E-13,5.62E-14,0,0,2.20E-09,0
1076,0.173,0.251,0.657,0.317,0.238,0.428,0.92,0.673,0.883,0.944,0.0182,0.0372,0.333,0.176,0.513,0.325,0.393,0.388,0.542,0.77,3.46E-09,6.68E-13,6.88E-12,1.14E-08,6.27E-13,1.45E-13,9.63E-13,2.83E-11,1.84E-12,9.62E-12,2.45E-12,0,1.26E-16,1.08E-12,4.22E-14,3.09E-12,2.57E-14,0,0,1.28E-09,3
1077,0.611,0.283,0.631,0.000353,0.692,0.316,0.942,0.161,0.155,0.442,0.731,0.322,0.418,0.239,0.476,0.433,0.962,0.000327,0.718,0.366,1.20E-08,6.33E-12,9.32E-12,4.43E-09,9.48E-13,3.30E-14,1.35E-12,2.63E-10,6.04E-12,9.12E-11,3.69E-12,0,9.32E-16,2.48E-12,7.55E-14,2.42E-11,7.47E-14,0,0,6.94E-16,2
1078,0.155,0.557,0.128,0.87,0.13,0.632,0.131,0.314,0.214,0.808,0.963,0.422,0.132,0.7,0.767,0.538,0.927,0.442,0.11,0.896,5.92E-09,1.25E-11,7.29E-12,4.87E-09,1.46E-12,3.27E-14,3.33E-12,3.34E-10,4.68E-12,1.24E-10,2.36E-12,1.22E-13,5.93E-16,4.42E-12,3.78E-13,4.54E-12,3.66E-13,0,0,5.32E-09,3
1079,0.312,0.698,0.449,0.407,0.00996,0.719,0.847,0.281,0.54,0.472,0.216,0.438,0.13,0.715,0.799,0.438,0.25,0.0685,0.878,0.511,5.24E-10,2.87E-13,1.72E-11,4.29E-10,4.22E-13,4.29E-15,2.22E-13,1.83E-10,2.19E-12,6.35E-11,1.25E-12,0,7.35E-16,1.50E-11,2.54E-13,1.75E-12,3.83E-13,0,0,6.24E-10,2
1080,0.626,0.213,0.000362,0.2,0.324,0.0224,0.0727,0.195,0.754,0.575,0.885,0.713,0.75,0.797,0.956,0.823,0.168,0.124,0.221,0.826,6.84E-10,3.74E-13,4.25E-12,1.24E-10,8.17E-12,2.48E-15,1.81E-13,1.46E-11,1.67E-12,4.95E-12,5.13E-13,0,0,3.75E-12,2.50E-13,8.52E-13,2.54E-15,0,0,1.97E-09,0
1081,0.194,0.801,0.101,0.487,0.376,0.637,0.954,0.133,0.665,0.536,0.564,0.909,0.000381,0.287,0.943,0.352,0.685,0.535,0.421,0.118,3.89E-09,3.77E-13,5.91E-11,1.04E-10,2.11E-12,2.43E-14,6.54E-13,5.62E-11,7.09E-12,1.91E-11,4.43E-12,0,7.42E-16,2.83E-12,1.09E-12,1.86E-12,5.50E-14,0,2.16E-15,8.28E-15,0
1082,0.284,0.846,0.847,0.189,0.0998,0.554,0.319,0.705,0.383,0.596,0.385,0.591,0.645,0.806,0.918,0.114,0.777,0.0307,0.659,0.706,2.67E-08,1.76E-12,3.88E-12,1.29E-10,3.56E-12,1.78E-14,1.11E-12,3.37E-11,6.24E-12,1.15E-11,8.80E-12,0,1.28E-13,3.20E-13,5.99E-13,5.08E-12,3.09E-13,0,2.79E-15,4.39E-14,3
1083,0.32,0.000222,0.46,0.336,0.508,0.852,0.00721,0.545,0.464,0.544,0.813,0.11,0.0783,0.831,0.96,0.465,0.0863,0.701,0.506,0.283,4.86E-09,6.59E-13,2.00E-10,1.90E-10,3.19E-13,6.17E-15,6.09E-13,0,2.13E-11,9.19E-14,8.92E-12,6.00E-14,0,5.57E-12,9.99E-12,8.74E-12,2.49E-14,0,7.45E-08,0,0
1084,0.0536,0.876,0.452,0.619,0.879,0.406,0.0931,0.577,0.176,0.657,0.0193,0.348,0.582,0.703,0.433,0.438,0.478,0.0176,0.303,0.501,2.00E-09,1.45E-13,1.79E-11,6.57E-14,2.35E-14,2.78E-14,2.26E-13,9.48E-14,1.84E-12,1.26E-13,1.79E-12,0,2.13E-15,1.10E-12,2.77E-13,5.58E-14,2.40E-14,0,2.77E-15,3.14E-13,3
1085,0.22,0.342,0.168,0.34,0.709,0.485,0.274,0.957,0.176,0.237,0.22,0.464,0.576,0.217,0.948,0.431,0.872,0.274,0.22,0.844,3.34E-13,4.24E-14,2.19E-11,2.13E-10,1.95E-14,1.35E-14,8.40E-14,2.46E-14,3.64E-14,1.79E-14,9.08E-13,1.21E-15,2.50E-16,2.68E-11,6.72E-14,4.16E-14,1.57E-14,0,1.99E-15,5.18E-13,3
1086,0.819,0.769,0.0934,0.194,0.924,0.595,0.771,0.757,0.748,0.832,0.488,0.107,0.313,0.734,0.882,0.798,0.383,0.267,0.237,0.71,1.70E-11,4.03E-12,4.45E-10,4.28E-09,9.81E-14,0,9.34E-13,7.94E-13,4.27E-12,1.76E-13,2.81E-12,2.32E-13,0,4.03E-12,2.38E-11,4.26E-13,8.67E-13,0,0,7.50E-07,0
1087,0.684,0.531,0.192,0.678,0.485,0.498,0.38,0.927,0.171,0.0223,0.782,0.348,0.602,0.56,0.323,0.0869,0.533,0.385,0.326,0.132,5.07E-13,1.53E-13,8.10E-11,8.36E-13,1.41E-14,9.37E-14,1.10E-13,2.01E-13,2.71E-14,3.63E-14,3.31E-13,2.78E-14,3.20E-16,6.14E-13,7.09E-13,1.84E-13,3.99E-15,0,3.16E-14,3.59E-13,1
1088,0.574,0.904,0.124,0.653,0.119,8.17E-05,0.761,0.814,0.757,0.0256,0.353,0.683,0.966,0.719,0.698,0.541,0.963,0.59,0.412,0.413,1.19E-09,4.82E-11,3.09E-08,5.76E-07,5.72E-10,5.10E-12,2.45E-11,5.33E-12,4.66E-10,2.72E-12,6.30E-11,8.24E-11,8.81E-16,1.20E-09,1.32E-11,1.63E-08,1.39E-12,0,6.75E-11,1.09E-11,2
1089,0.461,0.525,0.371,0.058,0.0281,0.569,0.471,0.00234,0.325,0.915,0.448,0.747,0.478,0.0319,0.771,0.0546,0.352,0.787,0.427,0.925,1.70E-10,9.40E-14,5.74E-08,6.26E-12,5.73E-14,5.77E-16,3.67E-14,2.64E-13,6.47E-13,1.31E-13,5.40E-11,1.67E-13,1.99E-16,5.38E-12,2.49E-12,3.02E-12,2.80E-12,0,1.55E-13,3.14E-12,3
1090,0.425,0.608,0.627,0.342,0.173,0.744,0.56,0.203,0.456,0.837,0.781,0.275,0.931,0.621,0.141,0.45,0.329,0.62,3.12E-05,0.816,4.02E-12,3.22E-14,3.00E-08,1.35E-10,5.99E-15,1.16E-16,3.51E-14,1.52E-14,1.38E-13,5.21E-14,3.14E-11,1.61E-13,2.22E-18,1.76E-12,2.38E-13,5.02E-15,6.58E-16,0,2.21E-14,2.43E-14,1
1091,0.797,0.733,0.104,0.902,0.16,0.519,0.804,0.94,0.675,0.765,0.6,0.67,0.458,0.627,0.687,0.0273,0.727,0.157,0.166,0.2,4.85E-11,2.75E-14,2.10E-09,1.17E-09,6.17E-16,0,4.39E-14,4.57E-15,9.22E-14,1.07E-14,2.29E-12,8.32E-14,6.97E-16,2.68E-12,3.09E-14,4.29E-13,2.05E-15,0,1.99E-15,7.68E-15,1
1092,0.871,0.733,0.0816,0.0685,0.184,0.37,0.367,0.505,0.505,0.409,0.346,0.902,0.0623,0.167,0.388,0.753,3.98E-05,0.966,0.893,0.701,9.94E-10,7.95E-12,4.27E-08,4.54E-12,9.68E-13,9.21E-15,9.85E-12,4.16E-10,2.13E-11,1.40E-10,4.48E-11,5.53E-11,2.39E-15,1.74E-11,3.57E-12,8.26E-12,1.22E-13,0,1.60E-12,1.61E-13,1
1093,0.384,0.338,0.788,0.94,0.524,0.882,0.000158,0.0253,0.685,0.804,0.385,0.406,0.527,0.363,0.543,0.767,0.773,0.573,0.817,0.76,4.31E-11,5.80E-13,5.29E-10,5.32E-09,2.09E-13,1.38E-15,4.41E-13,1.25E-13,1.94E-11,2.41E-13,4.12E-11,8.58E-12,1.91E-15,9.35E-13,1.52E-12,9.50E-13,1.80E-12,0,1.26E-13,8.88E-15,2
1094,0.336,0.442,0.102,0.0298,0.72,0.778,0.603,0.617,0.431,0.68,0.894,0.76,0.124,0.434,0.424,0.027,0.0772,0.824,0.961,0.596,1.88E-11,6.90E-13,7.24E-13,1.05E-13,7.99E-15,1.14E-16,1.06E-12,9.25E-14,2.38E-12,3.28E-12,2.27E-11,7.63E-12,3.34E-17,4.68E-13,5.53E-13,5.09E-12,1.36E-14,0,3.75E-14,3.90E-15,1
1095,0.257,0.733,0.597,0.804,0.203,0.118,0.81,0.445,0.5,0.188,0.0238,0.234,0.597,0.53,0.235,0.733,0.00344,0.275,0.768,0.387,4.89E-10,6.13E-09,7.39E-11,3.76E-11,7.56E-11,7.10E-13,3.84E-10,1.90E-10,9.90E-10,1.44E-11,1.00E-10,3.18E-09,1.16E-13,2.59E-12,2.18E-08,8.96E-11,1.12E-10,0,5.44E-11,2.03E-12,2
1096,0.816,0.0449,0.58,0.772,0.649,0.866,0.904,0.317,0.861,0.116,0.633,0.46,0.282,0.881,0.769,0.406,0.679,0.254,0.392,0.577,1.73E-12,7.64E-13,2.77E-13,7.77E-14,3.54E-12,1.35E-15,1.44E-13,4.44E-13,2.11E-11,5.95E-13,2.37E-11,4.39E-12,0,6.99E-12,9.85E-13,7.88E-11,5.98E-15,0,7.42E-13,2.22E-14,2
1097,0.377,0.767,0,0.792,0.652,0.583,0.442,0.966,0.443,0.722,0.554,0.000233,0.204,0.2,0.196,0.225,0.839,0.791,0.845,0.583,7.85E-14,5.71E-14,4.14E-14,5.39E-15,8.28E-14,5.42E-16,6.90E-14,2.54E-14,1.74E-13,9.56E-14,2.79E-12,1.51E-13,0,1.39E-12,1.89E-13,0,0,0,3.13E-08,0,1
1098,0.825,0.0947,0.671,0.815,0.473,0.684,0.381,0.0185,0.332,0.133,0.361,0.276,0.441,0.75,0.815,0.612,0.935,0.629,0.312,0.134,1.06E-13,2.86E-13,1.54E-13,3.42E-15,4.00E-15,9.30E-16,2.85E-13,3.54E-13,3.56E-15,3.59E-13,1.43E-11,7.71E-14,2.45E-17,4.53E-14,4.17E-13,5.26E-15,1.98E-15,0,1.89E-13,2.51E-15,2
1099,0.741,0.46,0.948,0.889,0.432,0.381,0.511,0.126,0.945,0.00756,0.0921,0.275,0.582,0.167,0.861,0.379,0.0255,0.62,0.42,0.663,2.93E-12,1.03E-14,4.75E-12,2.28E-15,5.01E-15,4.31E-16,2.20E-14,1.63E-13,9.23E-14,3.45E-16,2.65E-10,1.73E-13,0,4.68E-12,2.52E-13,8.31E-15,1.59E-15,0,1.06E-13,1.34E-15,2
1100,0.908,0.853,0.427,0.0859,0.752,0.655,0.916,0.382,0.815,0.38,0.0939,0.354,0.437,0.503,0.0477,0.692,0.401,0.923,0.621,0.452,3.69E-12,7.00E-13,9.64E-09,4.35E-13,2.78E-13,8.08E-13,1.33E-12,4.27E-13,7.76E-13,6.85E-13,9.01E-12,2.56E-10,1.61E-15,4.78E-13,1.92E-15,3.15E-17,5.10E-14,0,3.53E-15,1.69E-14,2
1101,0.547,0.683,0.0903,0.133,0.326,0.023,0.0321,0.736,0.926,0.954,0.588,0.783,0.356,0,0.429,0.00481,0.459,0.356,0.0307,0.302,1.54E-12,2.58E-14,5.79E-08,2.29E-15,4.66E-15,3.54E-14,5.57E-14,4.09E-14,9.50E-13,4.41E-13,6.08E-11,1.98E-13,1.18E-15,2.94E-12,1.15E-14,5.66E-17,6.02E-14,0,0,4.81E-14,1
1102,0.101,0.414,0.053,0.891,0.451,0.719,0.889,0.245,0.727,0.556,0.692,0.609,0.66,0.917,0.961,0.272,0.832,0.051,0.396,5.21E-05,7.55E-13,1.28E-13,2.50E-10,7.81E-15,1.02E-14,6.02E-14,2.43E-13,7.09E-14,3.99E-12,5.67E-13,2.84E-13,2.10E-11,2.93E-13,1.28E-13,3.36E-13,1.01E-15,2.98E-13,0,2.55E-15,4.25E-15,2
1103,0.646,0.266,0.674,0.528,0.206,0.318,0.217,0.27,0.347,0.723,0.274,0.4,0.938,0.576,0.83,0.94,0.289,0.638,0.46,0.619,1.13E-11,7.53E-13,2.48E-10,1.14E-14,8.43E-14,2.29E-13,1.54E-12,1.32E-11,1.76E-12,2.91E-10,2.42E-13,5.35E-10,1.54E-14,1.27E-14,8.84E-16,1.07E-16,1.44E-12,0,0,4.57E-08,3
1104,0.693,0.798,0.748,0.819,0.133,0.881,0.469,0.28,0.451,0.705,0.87,0.45,0.363,0.73,0.683,0.62,0.153,0.427,0.573,0.565,1.08E-11,7.33E-13,1.68E-10,3.42E-11,7.23E-14,2.37E-13,1.31E-12,6.88E-12,8.48E-13,1.78E-10,1.83E-13,1.04E-10,8.38E-13,4.09E-12,3.79E-13,1.33E-15,4.87E-12,0,5.24E-15,2.33E-14,1
1105,0.548,0.288,0.132,0.718,0.369,0.945,0.719,0.411,0.383,0.08,0.73,0.736,0.411,0.731,0.706,0.805,0.148,0.669,0.402,0.674,1.66E-11,2.17E-12,1.74E-11,3.68E-15,1.73E-14,6.29E-13,1.37E-12,2.65E-13,7.80E-13,2.62E-11,9.24E-13,2.06E-11,1.37E-12,6.33E-16,0,0,1.90E-12,5.25E-11,8.20E-09,3.92E-08,0
1106,0.238,0.0734,0.793,0.411,0.323,0.647,0.073,0.322,0.503,0.779,0.635,0.241,0.719,0.251,0.775,0.144,0.768,0.809,0.0552,0.882,4.32E-11,7.66E-13,1.48E-10,1.12E-14,2.85E-14,2.73E-12,1.08E-12,7.39E-13,5.45E-12,2.78E-12,7.86E-13,1.61E-11,9.24E-13,6.57E-12,2.82E-13,0,1.79E-12,3.53E-11,5.51E-09,5.29E-08,3
1107,0.266,0.88,0.031,0.897,0.705,0.716,0.81,0.859,0.245,0.405,0.246,0.417,0.222,0.723,0.356,0.794,0.87,0.0215,0.754,0,7.64E-10,1.12E-11,1.92E-11,5.34E-14,5.85E-14,1.84E-11,1.02E-11,1.13E-11,3.74E-11,9.10E-11,4.78E-12,4.64E-11,6.86E-12,2.39E-15,0,0,2.37E-12,2.64E-10,4.11E-08,4.14E-10,2
1108,0.585,0.264,0.142,0.000365,0.958,0.16,0.341,0.299,0.787,0.596,0.0826,0.875,0.442,0.461,0.747,0.119,0.592,0.376,0.277,0.677,3.99E-11,8.63E-12,2.28E-12,7.46E-14,6.06E-12,2.20E-11,1.26E-11,1.54E-12,2.28E-12,6.95E-11,3.95E-12,1.77E-11,4.83E-12,1.87E-13,2.41E-13,0,1.18E-07,1.85E-10,2.89E-08,4.61E-08,3
1109,0.353,0.45,0.154,0.000297,0.473,0.928,0.206,0.171,0.371,0.779,0.328,0.122,0.101,0.74,0.342,0.872,0.548,0.659,0.686,0.568,3.75E-11,6.86E-12,1.35E-10,6.04E-15,9.55E-14,3.16E-11,4.93E-12,5.16E-13,8.07E-13,3.58E-11,9.62E-12,2.58E-12,1.43E-11,5.97E-12,2.67E-13,0,1.94E-08,5.51E-10,8.60E-08,3.61E-08,3
1110,0.554,0.835,0.302,0.566,0.24,0.31,0.0549,0.116,0.357,0.681,0.0712,0.183,0.782,0.674,0.357,0.87,0.443,0.685,0.411,0.662,2.29E-11,4.59E-11,8.58E-11,2.76E-15,1.10E-11,1.50E-10,1.85E-11,3.50E-12,1.26E-12,9.82E-11,2.19E-11,2.91E-12,3.27E-11,3.47E-12,4.68E-14,0,3.68E-08,1.26E-09,2.02E-07,5.92E-08,3
1111,0.191,0.547,0.0698,0.000107,0.704,0.368,0.884,0.917,0.97,0.274,0.372,0.156,0.356,0.471,0.701,0,0.911,0.632,0.672,0.67,1.86E-10,2.11E-11,7.10E-14,0,4.91E-12,2.82E-11,9.25E-12,0,5.59E-12,2.80E-11,2.39E-10,6.55E-12,3.59E-10,4.86E-13,8.50E-13,0,1.18E-12,1.38E-08,2.18E-06,1.32E-07,0
1112,0.433,0.197,0.933,0.774,0.0163,0.492,0.0192,0.573,0.332,0.811,0.455,0.404,0.26,0.105,0.803,0.00235,0.000138,0.364,0.183,0.766,6.95E-10,8.08E-12,3.59E-10,1.62E-15,2.08E-13,1.31E-11,3.68E-12,1.43E-11,1.33E-11,3.62E-11,1.13E-10,1.13E-11,1.70E-10,1.48E-11,1.18E-12,7.39E-13,2.36E-08,6.54E-09,1.11E-06,7.07E-07,3
1113,0.786,0.386,0.327,0.122,0.803,0.861,0.524,0.303,0.823,0.459,0.594,0.925,0.552,0.153,0.264,0.876,0.1,0.923,0.344,0.556,2.24E-10,6.08E-12,1.18E-10,4.40E-11,1.12E-13,9.61E-12,2.68E-12,0,4.61E-12,4.33E-11,2.85E-11,8.08E-12,3.97E-11,8.16E-12,1.80E-12,1.23E-12,1.70E-08,1.53E-09,3.31E-07,1.37E-06,0
1114,0.711,0.441,0.114,0.117,0.372,0.734,0.537,0.805,0.687,0.638,0.755,0.906,0.345,0.801,0.408,0.825,0.888,0.0386,0.823,0.328,4.24E-11,6.09E-12,1.63E-10,2.29E-15,2.59E-15,1.41E-12,2.40E-12,0,9.62E-13,1.61E-11,0,7.41E-13,0,7.25E-12,1.89E-12,3.82E-12,1.06E-09,0,2.42E-07,1.57E-06,1
1115,0.276,0.00565,0.372,0.318,0.879,0.203,0.413,0.506,0.351,0.491,0.652,0.208,0.843,0.281,0.382,0.292,0.711,0.888,0.278,0.811,3.35E-11,5.29E-12,4.38E-11,1.01E-11,8.91E-14,4.84E-12,1.67E-12,1.26E-12,6.68E-13,1.78E-12,7.43E-13,2.06E-13,7.87E-13,2.26E-12,3.28E-13,2.77E-13,7.84E-10,3.03E-11,1.75E-08,7.76E-08,0
1116,0.257,0.817,0.75,0.77,0.382,0.337,0.898,0.64,0.818,0.0616,0.0267,0.709,0.175,0.719,0.677,0.499,0.526,0.863,0.0147,0.292,3.90E-11,3.83E-11,8.70E-10,1.10E-11,1.17E-12,8.43E-13,4.67E-11,3.82E-12,8.65E-13,1.37E-12,3.50E-12,1.46E-13,3.53E-13,3.89E-11,1.63E-12,2.64E-13,4.25E-09,1.36E-11,1.59E-08,4.63E-08,2
1117,0.502,0.000187,0.683,0.825,0.0438,0.521,0.545,0.308,0.48,0.149,0.176,0.589,0.879,0.667,0.68,0.000122,0.148,0.449,0.593,0.854,6.97E-11,1.45E-11,1.25E-10,2.49E-15,1.26E-12,2.00E-13,5.74E-12,2.50E-14,5.48E-13,2.43E-12,8.41E-13,1.41E-13,1.13E-13,5.75E-12,1.61E-13,1.21E-13,1.37E-13,4.34E-12,2.18E-09,2.13E-08,2
1118,0.665,0.916,0.641,0.0367,0.303,0.357,0.529,0.713,0.194,0.00145,0.108,0.435,0.934,0.429,0.403,0.293,0.121,0.563,0.522,0.351,1.50E-10,5.53E-11,1.44E-10,1.53E-11,3.62E-12,5.12E-13,2.40E-11,4.98E-12,3.18E-12,6.88E-12,8.36E-13,1.69E-13,0,8.41E-12,3.12E-13,2.22E-13,4.40E-13,0,2.98E-09,2.41E-08,2
1119,0.219,0.608,0.4,0.404,0.92,0.467,0.481,0.0312,0.619,0.443,0.942,0.329,0.558,0.303,0.244,0.586,0.812,0.416,0.179,0.163,3.79E-11,6.63E-11,1.36E-10,1.69E-11,2.23E-12,8.06E-13,2.84E-11,5.11E-14,3.57E-12,9.85E-14,5.14E-13,2.39E-13,8.89E-14,7.39E-12,3.99E-13,1.70E-13,9.32E-10,3.41E-12,4.58E-09,1.19E-08,0
1120,0.936,0.126,0.29,0.472,0.525,0.552,0.937,0.966,0.963,0.459,0.908,0.888,0.0613,0.572,0.899,0.263,0.784,0.181,0.612,0.0305,6.72E-11,1.54E-11,4.67E-11,3.12E-11,4.94E-12,8.35E-13,7.24E-12,1.36E-12,7.57E-13,1.52E-12,4.18E-13,9.33E-14,5.65E-14,4.71E-12,5.27E-14,4.53E-14,4.10E-12,2.14E-12,1.06E-09,3.04E-09,1
1121,0.939,0.666,0.738,0.000217,0.223,0.793,0.791,0.452,0.183,0.188,0.783,0.0753,0.743,0.0146,0.494,0.793,0.209,0.81,0.415,0.495,3.30E-10,1.58E-11,4.65E-11,9.64E-11,1.16E-10,7.20E-13,5.95E-12,3.77E-12,1.39E-11,1.76E-12,1.64E-12,9.52E-14,0,2.25E-09,2.75E-13,5.11E-13,2.19E-09,0,0,1.59E-08,1
1122,0.879,0.871,0.382,0.739,0.239,0.167,0.73,0.000178,0.697,0.911,0.482,0.314,0.481,0.575,0.817,0.379,0.442,0.791,0.47,0.936,3.70E-10,3.68E-12,2.11E-11,2.48E-10,9.92E-12,5.74E-14,1.86E-12,3.50E-14,2.38E-12,1.07E-13,1.51E-12,8.71E-14,0,1.12E-11,4.12E-14,4.01E-13,2.23E-09,0,0,6.06E-09,2
1123,0.939,0.369,0.00041,0.664,0.924,0.0911,0.0463,0.547,0.784,0.552,0.613,0.000238,0.425,0.101,0.848,0.585,0.711,0.0575,0.753,0.879,3.21E-09,4.53E-12,1.50E-10,6.31E-10,2.10E-11,6.32E-14,2.02E-12,2.45E-11,4.03E-12,8.36E-12,8.06E-12,4.24E-13,3.91E-16,2.38E-11,1.24E-14,2.50E-12,6.60E-13,0,6.42E-15,9.63E-15,0
1124,0.0131,0.195,0.631,0.027,0.972,0.0587,0.552,0.175,0.35,0.0749,0.823,0.466,0.693,0.632,0.821,0.176,0.309,0.574,0.248,0.118,4.97E-09,1.02E-12,1.45E-12,1.65E-09,2.45E-12,2.30E-13,4.74E-13,9.20E-12,2.85E-12,3.08E-12,4.06E-12,1.39E-12,0,3.17E-12,3.60E-14,1.50E-12,1.36E-13,0,2.19E-09,0,0
